Column1;Column2;word;sentence1;sentence2
19;1;karta; dobronamerno ustno opozorilo. Nežnejši spol pa naj igra na  karto  spogledovanja in koketiranja, kar se bo obneslo, če  ; popoldanske vstopnice, omisliti pa si je mogoče tudi sezonske  karte . Nekaj bodo morali odšteti tudi tisti, ki bodo  
20;1;karta; pa omogoča prenos načrtovane poti v GPS-sprejemnik.  Karto  z vrisano potjo pa lahko v pravilnem merilu tudi natisnemo ; pri zakoličenju ugotovimo, da je projekt izdelan na slabi  karti , kar je v nasprotju s predpisi, ali da  
21;0;karta; Prognostična  karta  HMZ Slovenije za soboto, 10. junija ; na koncu prevladali »malonemci«, ki so svoje  karte  stavili na Prusijo. 
22;1;karta;" Kviz, show - 20.15 Komisar Rex, ""Smrtonosne  karte "" - 21.15 Stockinger, avstrij.-nem. krimi "; Darilo:  karte  za vedeževanje 
23;0;karta; vam bo izplačala, vendar še ne smete pokazati vseh  kart , ker jih boste še potrebovali. ; četrta karta iz serije izletniških  kart  Geodetskega zavoda Slovenije, d. d., v merilu 1  
24;0;karta; proces vpliva predvsem človeka. Uvedba nadzora procesa s kontrolno  karto  nudi operaterju možnost preverjanja lastnega dela, včasih pa je  ; imajo agencije ? Hvala lepa , naslonjač in pivo ,  Karte  pa si naj nekam vteknejo ! 
25;0;karta; Nekje sem slišal da je najcenejša  karta  za el classico 200 eur. Sicer dvomim da je  ;" * Senčena osnovna karta pri manjših merilih prikazuje tudi relief  karte  * Funkcija ""Kje sem?"" – poišče najbližje  "
26;0;karta; tem, da v letalstvu cena storitev za potrošnika ( kart ) ne narašča zaradi konkurence, slovenski potrošniki pa za  ; katerih so osebe uganjevale na primer vrstni red naključno razvrščenih  kart , pokazala, da obstaja statistično pomembna raven verjetnosti ( 
27;0;karta; pri pokru stavit prvo vse kar imaš potem pa šele  karte  pogledat? Ko so šli naši v arbitražo sem bil  ; Cena smučarske  karte : 6-dnevna/7-dnevna do 22.  
28;1;karta; tem obstoji uradna evidenca in dokazilo o plačilu obrazca parkirne  karte . Taksa za vlogo znaša 2,40 EUR. ;" potovanje na ""celino"" tako, da je letalska  karta  za eno in polurni polet do Lizbone bolj avtobusna vozovnica  "
29;0;karta; Prognostična  karta  za ponedeljek, 15. oktobra ; se kaznuje za prekršek voznik, ki neupravičeno uporabi parkirno  karto . 
30;1;karta; Na  karti  1 je površinsko pravilno prikazanih 200 dežel. Njihova skupna  ; Izdelali turistično  karto , informativni tabli in znak TD Ob 750-letnici  
31;0;karta; hudo nam je, da imamo na voljo tako malo  kart ,« je ob tem dejal generalni sekretar zveze Wolfgang  ; izgubiš, prisotna v vsaki partíji. Pri isti močni  karti  v roki bomo enkrat partijo dobili, drugič pa izgubili 
32;1;karta; ki je poudaril, da so bile na seminarju odkrite  karte . Sedaj bo po- ; ni dovolj vztrajna in ve, da z mesečno fitnes  karto  ne bo učinka. Rabi pač motivacijo, denarja pa  
33;0;karta; najcenejše v Sloveniji. Kot je znano, mesečna avtobusna  karta  od marčevske pocenitve stane le 5, letna pa 35  ; francoskega kuharja Alaina Ducassa, so od oktobra na vinski  karti  tudi slovenska vina in dosegajo zelo dobro ceno. Med  
34;0;karta; zaslediti tudi drugod. Budi-stične kitajske in japonske  karte  so svet prikazovale v obliki školjke, ki jo obdajajo  ; mu dati vedeti, da je zaželen. In delilci  kart  »usode« so nakazali, da se pikov as  
35;0;karta; nastajale v stoletjih, s tem premosorazmerno posledično vprašljivost natančnosti  kart  in zemljevidov, pravilno preračunavanje merskih enot, ki so  ; šest krogov pred koncem, ki je še enkrat premešala  karte  v boju za naslov. Ploha pa je bilo zadnje  
36;0;karta; Iz astrološke  karte  sklepam, da ste svoje vprašanje zastavili zelo nejasno in  ; , koder regata poteka, v primernem merilu. Poleg  karte  je priporočljivo uporabljati tudi ustrezne tablice plim in osek.  
37;0;karta; Garminovo topografsko karto Adria Topo. Vsi obstoječi uporabniki lahko  karto  brezplačno nadgradijo. Navodila za nadgradnjo... ; za vse - počitnice, potovanja, izleti, letalske  karte , jadranje, križarjenje, smučanje, tuji jeziki 
38;1;karta; ... ta pesem si ne zasluži niti enosmerno  karto ...! Izgleda, da se Slovenci delamo  ; za vse - počitnice, potovanja, izleti, letalske  karte , jadranje, križarjenje, smučanje, tuji jeziki Francija  
39;0;karta; A letalske  karte  za Manchester ne kupujejo le ljudje v sivih oblekah s  ; ne bi imeli službe, bi se naša hiša iz  kart  podrla. Naša osebnost je pogosto odvisna od tega,  
40;0;karta; državah v 3D kartografiji. Oregon 300 ima prednaloženo bazno  karto  sveta z zasenčenim reliefom, Oregon 200 pa preprosto osnovno  ; s svojimi 50 enakimi posti in potem lahko začnem prodajati  karte  za vedeževanje v živo..)) 
41;1;karta; Že, toda moramo vedeti, da so tam  karte  razprodane. Kiel ima pet tisoč letnih kart. Klubi  ; sicer namenjeno predvsem ameriškim kupcem, zaradi nakupov ugodnih letalskih  kart , hotelskih prenočitev in najemov avtomobilov pa utegne biti zanimiv  
42;0;karta; Fonoloških opisov ... (Sarajevo 1981),  Karte  slovenskih narečij (1983) in Slovenskih krajevnih imen ( ; Olimpiji, klub izgublja dušo. Pred leti je zmanjkovalo  kart , vsi so živeli za klub, ne le igralci 
43;0;karta; Draga mama, iz astrološke  karte  je videti, da ste zelo materinski in navezani na  ; za vse - počitnice, potovanja, izleti, letalske  karte , jadranje, križarjenje, smučanje, tuji jeziki Kardamena  
44;0;karta; DNEVNE ALI TEDENSKE  KARTE  ZA REKREACIJSKI RIBOLOV ; uravnoteženju moči, specifično področje njegovega izraza pa določa barva  karte .  
45;0;karta; spletno stran: www.trenta-soca.si in za boljšo orientacijo  karto  Julijske Alpe, zahodni del 1:50 000 .  ; Starodavna veščina branja iz tarot  kart  32 
46;0;karta; HZS začela postopek za pridobitev mednarodnih prestopov prek mednarodnih transfer  kart , kajti vsi omenjeni igralci imajo trenutno mednarodne transfer karte  ; prednost povečal za sedem točk in ima v roki najboljše  karte  za osvojitev naslova podprvaka.  
47;0;karta;  Karta  2: Sintezni indeks razvojnih dejavnikov v letu 2006 ; svet - 20.15 Melodije - 22.00 Danes - 22.15 Zelena  karta  (Green Card), avstral.-fr. film,  
48;1;karta; tako pomemebno pa je, da se naučite pomene izbranih  kart  povezati v smiselno celoto oziroma da znate iz razvrstitve,  ; * Vsiljenje  karte  je tehnika, s katero gledalca pripraviš, da vzame  
49;0;karta; ogledala na premieri, vem da če ne bi dobila  kart , bi si ga šla ogledat. Tako mlado in  ; in višine vode na točkah, ki so označene na  kartah , in sicer za referenčne točke -- glavna in  
50;0;karta; kartografi dobili podatke za te karte? Kdo je te  karte  risal pred njimi? Te podrobnosti in neznanke so Menziesa  ; Ali gledamo novo zmagovalko slovenskega izbora za pesem Evrovizije?  Karte  so povedale svoje, dokončen odgovor pa bo znan 3.  
51;;karta; FM. V prvi vrsti je to kartografija. Prednaložena je  karta  Severne Amerike ter Evrope, City navigator NT. S  ; obremenitvah, o prometnih nesrečah in so bile tudi izdelane  karte  tveganja cest. Zelo zanimivi izsledki oziroma zelo obremenjujoči za  
52;;karta; to me ne zanima. V življenju imam rad odkrite  karte , tako v poslu kot v ljubezni. Kaj vam  ;" V  kartah  je veliko magičnega; ta starodavna veščina napovedovanja prihodnosti je  "
53;;karta; karta izpolnjenih želja«. Če se pojavi med izbranimi  kartami , se vam bo želja izpolnila: kar ste si  ; 30. junija. Šele po tem datumu se mednarodne transfer  karte  lahko avtomatično vrnejo v matično zvezo, torej v tem  
54;;karta; Vinska  karta  je obsežno čtivo, sicer pripravljena kot eden najboljših vodičev  ; zapuščina pa se je že začela sesuvati kot hišica iz  kart . Pobuda francoskega predsedstva Evropske unije za odpravo slovenske blokade  
55;;karta;" prav sladice so moja mala strast."" Na vinski  karti  je največ istrskih vin. ""Želimo imeti tako široko  "; ali govori resnico. Vse svoje  karte  je stavila na to, da bo zmagal njegov ego  
56;;karta; Zato bi bilo nekorektno, če bi igral le na  karto  športne popularnosti. ; soočiti z Lisabeto. Jorge in Ricardo na samem položita  karte  na mizo in odkrito si povesta, da vesta vse  
57;;karta; ne več 13. Igralec, ki je položil svoje  karte  na mizo, ne sodeluje več v tisti igri.  ; ,ali morda hodiš na njihove koncere,ali kupiš  karto !?Slovenski glazbi pomagaš lahko le na način, 
58;;karta; Ilievski si zasluži letalsko  karto  za Makedonijo in nič več, Ožbolt pa karto za  ; goriva v prvem polletju letošnjega leta že večkrat povišala ceno  kart  in dodatka za gorivo. Poleg tega po naših informacijah  
59;;karta; naj pazi na glavo in čutila. V ljubezni vama  karte  kažejo srečo in harmonijo, tudi na finančnem področju se  ; vpoklicanih oseb, ki jim ni bilo treba kupiti ladijske  karte . Če je namreč vpoklicani pokazal poziv na služenje cesarski  
60;;karta; idealnega moškega: ne kadi, ne pije, ne  karta , ne leta za drugimi ženskami in - ga ni ; tega so prepričani, da so vstopnice (cena dnevne  karte  je 900 tolarjev, sezonske 15.000 tolarjev) previsoke glede  
61;;karta; z integriranim TMC-sprejemnikom. Sistem ima že nameščeno  karto  Evrope (tudi Slovenije), modrozobo (Bluetooth)  ; in naj bi vodila v Tibet, pri čemer so  karte  za prve vožnje, napovedane za leto 2007 po 5600  
62;;karta; Kako pa  karte  kažejo največjima turističnima znamenitostma v regiji – Postojnski jami in  ; se za pohorje nimam soudov, niti za 1 popoldansko  karto .... kje pa je se vsa oprema 
63;;karta; ceste prvega in drugega reda ter za regionalne ceste.  Karte  tveganja prikazujejo število nesreč s težko poškodovanimi ali mrtvimi udeleženci ; rokopisno dobro dokumentirano dediščino glagolskega pismenstva v Istri (glej  karto !). Prikazanih grafitov ne povezuje le s historično  
64;;karta; založba je pred kratkim izdala zbirko oziroma niz sedmih avtomobilskih  kart  posameznih držav Evrope. To so avtokarta Nemčije v merilu  ; še bančno kartico, hlevsko knjigo, prejete obrazce in  karte  rabe zemljišč ter lansko zbirno vlogo in zahtevek za EU  
65;;karta; , srečamo še s poimenovanjem te hribovske vasi: na  kartah  piše Koreno, domačini pravijo Korena. Vrh poleg cerkve  ; začel ob 21. uri - znašala 900 tolarjev, cena  karte  za vse tri večere skupaj pa bo 2500 tolarjev. 
66;;karta; , da od začetka uradnih voženj vzpenjače prodajo povprečno 633  kart  na dan. Pozna pa se tudi, da se  ; S turistično  karto  Izraela na kolenih se v najeti Fiesti, ki je  
67;;karta; in zaživeti na novo, a usoda mu spet premeša  karte . Mu bo kdaj uspelo svoja čustva spet spraviti v  ; v kakšni obliki. »Nerealistično bi bilo staviti vse  karte  na cepivo proti sarsu, saj je še veliko drugega  
68;;karta; , da bi celi naši koaliciji in opoziciji kupil enosmerno  karto  za trajekt do golega otoka. Vsi so isti,  ; drugo karto. Proceduro pa pokliče, da počisti vse  karte  z zaslona, tako da se lahko razdelijo nove karte 
69;;karta;" uradnim odprtjem košarkarske tržnice v Združenih državah Amerike se utegnejo  karte  v najmočnejši ligi dodobra premešati. Kaj jo bodo "" "; igra s kartami, pri kateri zmaga tisti, čigar  karte  so najbližje devetim točkam, vendar jih ne presežejo. 
70;;karta; igro kart je želel uprizoriti igro sveta in je barvam  kart  podelil ideološke odtenke. Skratka, igra uprizarja pošastno zakonitost ; samo 25 milijonov). Večji del menda za letalske  karte  in vračilo Kitajcev, medtem ko naj bi bilo za  
71;;karta; »(85) Potem želim del Ljubljane v  karti , in sicer od Mesarskega mosta do Čevljarskega, od  ; ocenah nekaterih ekonomistov podvojilo naš vojaški proračun. Prave politične  karte  slovenske politične elite se torej razkrivajo šele z grdimi ekonomskimi  
72;;karta; skupna dovoljena teža prtljage sto petdeset kilogramov. Če s  karto  »najavljeno« težo presežeš, kar pri smučarjih ni  ; postopke obdelave akcelerogramov, ocenjevanja potresne nevarnosti in izdelave državne  karte  potresne nevarnosti. Po potresu v Posočju so uvedli stalno  
73;;karta;  Karta  Bela Krajina je nadaljevanje karte Kočevsko na vzhodni strani.  ; med ostalimi Slovenci,saj je igral vsaj na dvojne  karte  če ne še več in zato so ga delavni emigranti  
74;;karta; okolici Arabskega morja, na drugem so v živo na  karti  prikazane lokacije posameznih letal v zraku, tretji zaslon pa  ; majice in videokasete, medtem ko založbe na veliko popravljajo  karte  in turistične vodiče po New Yorku. A ne samo  
75;;karta; Še  karto  kupimo, pa gremo nazaj v Ljubljano.  ; Groharja, kam se jim tako mudi? »Igrat  karte  ali pa štrikat. Kaj pa čjo?« Tedaj  
76;;karta; v naravi, na katerem so prepoznavali topografske znake na  karti  in v naravi ter obnovili orientacijo ter zgodovino domačega kraja ; opasač za krogle. Preiščite strojnico in se vrnite na  karto . Pojdite h koči, iz katere ste jo podurhali 
77;;karta; Sl.VIII.4.1.  Karta  zgostitve prebivalstva ; … Kupiš psa, pa si moraš urediti še stalno  karto  pri veterinarju. Vse zaradi biznisa. 
78;;karta;" , ki je izjemno zahtevno delo; na delo s  kartami  me niso več pošiljali. Nekega dne sem v službi  "; premislite, koliko ste v resnici pripravljeni staviti na to  karto . Precenjevanje vaših sposobnosti bi vas lahko pripeljalo v zelo  
79;;karta; še to, da je bila to ena dražjih Ryanairovih  kart , kar sem jih plačal doslej, tako da sva  ; seveda postavljeno na poseben zemljevid, in sicer na obojestransko  karto  v merilu 1 : 20 000. 
80;;karta; igralnice je dejal, da si je zelo želel odločilno  karto . Doslej je v Parku priigral le manjše dobitke,  ; Roberta povabi prijatelje domov. Zabavajo se, igrajo  karte . Kdor izgubi, mora sleči kos oblačila, tako  
81;;karta; bilo več prostora na letalu, so ji plačali letalsko  karto  domov. Ponudili pa so mi, če bi prišla  ; v merilu 1 : 50 000. V izletniškem programu  kart  Geodetskega zavoda Slovenije, d. d., pa so v  
82;;karta; Igrati na eno  karto  seveda ni dovolj, zato je Sovič odpotoval še na  ; nad. - 12.20 Udarci pravice, nan. - 13.50 Odvetnikove  karte , nan. - 14.45 Pasji policist, nan. - 15.15  
83;;karta; neprijetnosti moramo biti pripravljeni. Soseda, ki igra na  karto  večjega in močnejšega, nas hoče imeti v šahu in  ; center Márton Báder pokazal veliko - Spahija ni odkril vseh  kart  
84;;karta;" v dolini, in sicer sistem kontrole in prodaje smučarskih  kart  ""ski data"". V primeru vetra na Kaninu  "; , ki pravilno odgovorite na nagradno vprašanje, podelimo dve  karti  za film meseca po izboru Koloseja in uredništva portala BTC 
85;;karta; Sam osebno si nikoli ne gledam v  karte , kar pa ne pomeni, da nimam nikakršnih težav  ; ki ga začenja demenca. Midva z dedijem še kar  kartava , čeprav že pozablja kako se točno igra. Ali  
86;;karta; Po Errerovi  karti  pa so tudi v večjih krajih osrednjega predela severne Istre ; Koliko vem še imajo nekaj  kart  v Big Bangovih trgovinah. 
87;;karta; deli prikaza, ki jih je bilo mogoče združiti v  karto  le v takem merilu. ; Four of a Kind (poker) – štiri  karte  iste vrednosti, npr. štirje kralji 
88;;karta; b) Zaporedje zmag nogometnega moštva je povečala povpraševanje po  kartah . Nova krivulja povpraševanja je D = 300.000 10.000P.  ; predispozicije za partnerske odnose je mogoče videti v rojstni astrološki  karti  in to znanje lahko uporabimo za bolj kvalitetno in zrelo  
89;;karta; Evrope, sveta, globusu • ob slikovnem gradivu in  kartah  prepoznati ter opisati nekatere pokrajinske značilnosti (površje, vode ;" Najprej Poljak, potem pa bo treba razmisliti o nakupu  karte  preko luže,"" o svoji bližnji prihodnosti razmišlja Dejan  "
90;;karta; okvirne. Zlasti težko pa je bilo povezati razdelitve na  karti  z arheološko ugotovljenimi rimskimi parcelnimi razdelitvami na terenu.  ; 2 SEDANJOST - Ta  karta  opisuje, kaj trenutno vpliva na vas, o čem  
91;;karta; noči. S povezavo z ustreznim programom vrste »zvezdna  karta « na prenosniku pa je bilo mogoče podatkovno bazo zlahka  ; 400 tolarjev na voljo v turistično informativnem centru. Na  karti  so tudi opisi posameznih kolesarskih poti, turistom pa ponujamo  
92;;karta; mrzličnim iskanjem protiorožja za razpoloženi Krimov napad. Prva » karta «, na katero je zaigral - tesno pokrivanje Derepaskove  ; Prodi sklenil znova zaigrati na vse  karte  
93;;karta; , vžigalnike, mobilna telefona, telefonske kartice, igralne  karte  in celo žvečilne gumije. ; Župan Boris Malej premešal  karte  
94;;karta; Iz astrološke  karte  sklepam, da ste močna oseba, vendar nosite v  ; Prav tako lahko na straneh omenjenih družb kupimo  karte  za mnoge povezave po Evropi, ki pa gredo vedno  
95;;karta; denarjev zanje ne bo žal odšteti nikoli.  Karte  smo nabavili v Novi Gorici, v ;" . 4817 Pisemski ovitki, pisemske kartice, dopisnice in  karte  za dopisovanje iz papirja ali kartona; kompleti za dopisovanje  "
96;;karta; Pogovor z Angelo Pajnkiher Prem o meditativnih  kartah  ; Če vidite v  karti  nagnjenost k alkoholu ali drogam, pri koliko od sto  
97;;karta; za vse - počitnice, potovanja, izleti, letalske  karte , jadranje, križarjenje, smučanje, tuji jeziki ; s stene odkopal kovinsko blagajno ter vzel denar in smučarske  karte  za Krvavec, v skupni vrednosti 250.000 tolarjev. 
98;;karta; vinu. Vsi obračuni naj se napravijo na podlagi notarske  karte  (PAD. TN, VII, 250v.) ;" Sabina, ki glede svoje kariere po Kmetiji pušča odprte  karte : ""Ker resnično obožujem glasbo, bi se preizkusila  "
99;;karta; kot za druge obiskovalce. »V predprodaji so bile  karte  za člane osem evrov, za vse druge 12 evrov ; to kar pa razni vrači in ljudje ki gledajo v  karte  in kugle,to je pa itak manipulacija.. 
