Column1;class;word;sentence1;sentence2
18;1;pot; starši in stari starši, temveč pot tehnoloških sprememb,  pot  tisočerih korakov, pri katerih bodo imeli pomembno vlogo strokovnjaki ; na vseh osmih kontrolnih točkah, ki bodo nameščene ob  poti , zbrati žige in kontrolni kartonček oddati na naslov Agencije  
19;1;pot; Precej neroden na začetku svoje kriminalne  poti  je bil policist, ki so mu v njegovem kraju  ; dodal še Mang Igri Taida z ministrstva za komunikacije.  Pot  na vzhod se je lahko začela.  
20;0;pot; - 0.30 Na kosilu z Brianom Turnerjem - 1.00 Na  poti  - 1.30 Veliki pobeg ; navzgor, in spotoma povpraševal, ali sem na pravi  poti . Ko sem se bližal Vaitsapu, se je bambus  
21;0;pot; je začela bohotiti birokracija, kar je bil začetek rakove  poti . ; Dogodki in odmevi RaSlo, 17.00 Kronika, 17.45 Jack  pot , 18.00 Odmev - o kadilskem zakonu - ponovitev,  
22;0;pot; obravnavi kurdskega vprašanja in ga ne želi rešiti po mirni  poti . ; Na njeni  poti  se ji pridružijo številni onesnaževalci, ki tičijo v bližnjih  
23;1;pot; je na primer vzpon na Grintovec po težavnosti nezahtevna označena  pot , zaradi velike višinske razlike pa ena najnapornejših v knjigi ; , saj je vozlišče oblikovanih pohodniških, kolesarskih in konjeniških  poti . 
24;1;pot; , da je mogoče. Pri prvih korakih na vaši  poti  k ustvarjalnemu digitalnemu fotografiranju vam bo v veliko pomoč tudi  ; peti in drvečemu smetnjaku. Sicer pa je na njuni  poti  do skupne sreče -- kot se za romantične komedije  
25;0;pot; planinskih poteh. Glavno vprašanje je, ali so te  poti  javne ali pa imajo lastniki pravic, po katerih peljejo ; je agresivno vedenje predvsem odziv na frustracijo – omejitve na  poti  do ciljev, tretji pa, da se večine agresivnega  
26;0;pot; Pred daljšo  potjo  se naspite. Morda boste pomislili, kaj vendar imata  ; samec s patriarhovo brado in kožo, ki se pohotno  poti , tisti zemeljski favn,, s štirimi razklanimi kopiti  
27;1;pot; Dolga  pot  do izročitve ; predstavil trenutno sestavo, sedežni red njihove skupščine ter opisal  poti  in sredstva za doseganje konsenza med vlado in opozicijo.  
28;1;pot; se spominja finančni minister. Ob vstopu na skupno življenjsko  pot  je bilo z njima veliko sorodnikov, prijateljev in znancev ; , slednja prihaja v kina drugo leto). Svojo  pot  na velikem platnu pa je začela ob strani Jeana Rena  
29;0;pot; tedna je v Poljčanah slavno za-ključil svojo življenjsko  pot  prašič, ki bo odigral glavno vlogo v najnovejšem videospotu  ; . Kljub temu se ji igralske priložnosti kar postavljajo na  pot . Najprej je gledališki oder preizkusila v predstavi Kabaret,  
30;0;pot; času potrebujemo več tekočine, ker jo izločamo tudi s  potom  in dihanjem. ; treba pohvaliti zmogljivo navigacijo z glasovnim upravljanjem) nas je  pot  vodila na avtocesto, po kateri sicer zaradi del in  
31;0;pot;" VZHOD 9.05 GLAVNI TRG 10.00 MADŽARSKI PRVI 10.20 ČUDOVITE VODNE  POTI ; GARONNE ATLANTIK 11.10 BIBLIJA 11.20 KANON 12.00 POROČILA,  "; Tekel je daleč pred njo. Na pamet je poznal  pot  do hiše. Klicala ga je skozi vse gostejšo temo 
32;0;pot; Louis Saha, Kieran Richardson in Ryan Giggs. Na  poti  v 4. krog se mu je v sredo zvečer pridružil  ; hvaljeni organizator igre NBA, pa si hkrati vztrajno utira  pot  v zgodovino. Včeraj je dosegel že 43. » 
33;0;pot; na njegovi zadnji  poti , mu darovali cvetje, sveče in sv. maše.  ; Na  poti  skozi džunglo, le 30 km oddaljeno od Dambulle,  
34;1;pot; Čeprav imam trenersko PRO-licenco, želim na tej  poti  iti postopoma, zato sem s treniranjem mlajših kategorij za  ; hitro ponudil kar tri velike filmske užitke. Njegova filmska  pot  do slave se je začela leta 1989 s filmom Seks 
35;0;pot; v slovenščini, nato pa je pripovedovala o svoji poklicni  poti , o državah, kjer je že delala, o  ; Na torkov večerni trening je prišel izjemno utrujen po dolgi  poti  iz ZDA. Proti Maccabiju ga bržkone še ne bomo  
36;0;pot; Iz knjige Marte Silvester:  Pot  k veselju ; Unicef predčasno končal redno akcijo zbiranja sredstev, poimenovano Za  pot  iz slepe ulice. Ves denar, ki se bo  
37;0;pot; jo je pokazalo ljudstvo. Kakor hitro krene s te  poti , imajo volilci pravico zahtevati razpis novih volitev in poslanca ; Proti alergijam, ki se kažejo z zasluzevanjem zgornjih dihalnih  poti , učinkujeta dve homeopatski zdravili: Pulsatilla in Arsenicum album 
38;0;pot; Aljančič) Ljubljana: Zoološki vrt mesta Ljubljane, Večna  pot  70 - sreda, 28. oktobra letos ob 17. uri ; 17.30 Alternativne  poti  
39;0;pot; brezposelnosti. Za potešitev radovednosti lahko uberete tudi bolj preprosto  pot  - prek podatkov statističnega urada. Zdaj, julija,  ; V Firencah naj bi razpravljali zlasti o tako imenovani tretji  poti  v svetovnem razvoju, toda srečanje ne bo pod tem  
40;0;pot; galvansko povezani, potem bi si električni tok sam iskal  pot  skozi letalo in bi lahko naredil več škode ter ogrožal  ; so udeleženci karnevalske povorke krenili na cca 2,5 km dolgo  pot  po glavni ulici Kotorja. Vsaka skupina je bila predstavljena  
41;0;pot; Večina potnikov je bila Nigerijcev. Letalo je bilo na  poti  iz Nairobija v Lagos (Nigerija) z vmesnim postankom  ; Za odvoz komunalnih odpadkov je potrebno zagotoviti dovolj široko dovozno  pot , da je omogočen dostop komunalnim vozilom. Za namestitev  
42;1;pot; je, kakor se je izražal, ljubljanska megla nakazovala  pot  v impresionistično slikanje. Z impresionizmom je naše slikarstvo stopilo  ; obkrožiti Evropo, prav Bojan pa ga je navdušil za  pot  okoli sveta. 
43;1;pot; loparčkom zaustaviti, a ju je obvozil in nadaljeval svojo  pot . ; sproščenemu druženju tekačev ob strokovnem vodenju tekaškega trenerja. Tekaška  pot  nas bo vodila po zanimivih poteh Sečovelj. Tek bomo  
44;1;pot; v dopoldanskih urah, osrednji sprevod pa se bo na  pot  odpravil ob 17.30. Krenil bo s Krekovega trga proti  ; Ko sem preiskoval ozadja  poti  in predvsem stranpoti, ki so se dogajale na območju  
45;0;pot; Zavorna  pot  (m)  ; je neporažen že 40 zaporednih tekem in je na dobri  poti , da popravi lanski rekord Arsenala, ki poraza ni  
46;1;pot; . Pomislim, da je cilj vreden vseh muk dolge  poti . Pozabljeni so vsi žulji, ves čas mokre in  ;" in čestitat vašim ""novinarjem"", ko bi me  pot  zanesla na FDV... "
47;0;pot;" karavanški predor in po turski cesti proti Salzburgu; na  poti  krajši postanki. Vožnja mimo Salzburga, Münchna do Nürnberga "; . Srečevali se bodo stari znanci, ki so svojo  pot  začenjali prav na tem mestu, vendar v nekem drugem  
48;0;pot; gozd ni urejena, bomo morali do tretje točke arheološke  poti  kar po cesti. Po njej se tudi vrnemo do  ; je pristal na 39. mestu. Potem se je začela  pot  navzdol. 
49;1;pot; , prilagodite hitrost vožnje razmeram na cesti, za načrtovano  pot  pa si vzemite dovolj časa. ; tedaj že umrli Džingiskan. Po krajšem postanku sta nadaljevala  pot  po 
