,class,word,sentence1,sentence2
54,1,kap, ' aktivnost moških za polovico zmanjša nevarnost infarkta in možganske  kapi . Bi to lahko bila nova moška ... ," zmagovalka pokala pokalov ali kako se je že imenovalo.  Kapo  dol pred KK Olimpija, o nogometni pa na košarkarskem  "
55,0,kap, temno modro uniformo. Na glavo si je posadil belo  kapo . , Ime Da te  kap  smo si s prijatelji izmislili bolj za šalo. V  
56,1,kap," letih izkazalo, da je nevarno, saj poveča tveganje  kapi  in infarkta. Zdravilo je podjetje MSD sicer prostovoljno umaknilo  "," svetlo prihodnost, a nenadoma v spanju umre za srčno  kapjo . Mala Kate zelo trpi, ker je ljubljeni oče  "
57,1,kap," Denimo podgane so se po  kapi  spet začele gibati veliko hitreje, če so jim ga  "," in hlače enake barve, na glavi je imel modro  kapo  s ščitnikom. Odpeljal se je s črnim ženskim kolesom  "
58,0,kap, ga ga...kure! Avša da te  kap .... , Možganska  kap  
59,1,kap," . Očitno se tudi vodstvo strinja, da Sarkozyja doleti  kap . Kdo lahko poda takšno izjavo? Kdo lahko poda  "," vozička, mu bo gotovo kupil vijoličen šal ali takšno  kapo . In potem ju na tekmi ne ustavi nihče!  "
60,0,kap," jo ujel z roko. Na glavo sem si poveznil  kapo  in jo zasukal naokrog, da je bil šild zadaj "," lahko preprečimo nevarno pregretje telesa, vročinsko izčrpanost in vročinsko  kap . "
61,1,kap," zgoraj brez, svetujem, da si na glavo poveznete  kapo  s ščitnikom pa tudi za vratom je dobrodošel kakšen kos  ", preraste notranja žilna stena. Na ta način preprečijo možgansko  kap . Doslej so karotidno angioplastiko v svetu opravili pri več  
62,1,kap, tudi naši kurenti v polni »bojni opremi«.  Kapo  dol! Nama je bilo vroče v kratkih rokavih.  ," ), ob koncu leta pa je na golfu udarila  kap  Binga Crosbyja. "
63,1,kap," 19. stoletja naj bi se po zaslugi krošnjarjev uveljavljale tudi  kape , kar je potrjeno v Trdinovem prispevku iz leta 1873 "," novem okolju ne morejo preživeti, znamenitemu Kilimandžaru izginja snežena  kapa ... "
64,1,kap, napotili na pravi naslov. Za uspešno zdravljenje ishemične možganske  kapi  pa je najbolj dragocen ravno čas – prve tri ure ," , oblečeno v modro bundo in kavbojke in s črno  kapo  na glavi, vendar jim jo do sedaj še ni  "
65,1,kap," žila in zalila levo polovico možganov: štiri petine vseh  kapi  so namreč posledica krvnega strdka, ki prepreči dotok krvi  "," 185 in 180 centimetrov, na glavi sta imela maskirni  kapi  z izrezom za oči, oblečena sta bila v zeleni  "
66,0,kap, Tveganje možganske  kapi  je mogoče zmanjšati z rednim nadzorom krvnega tlaka in ustreznim  ,"  Kapa , 13 EUR– slika Alex "
67,0,kap," o njegovem ropu. Odkar ga je leta 1998 zadela  kap , ne more govoriti. Pred tremi leti se je  ", Po možganski  kapi  v Rimske Toplice? 
68,0,kap," Marsu menjavajo letni časi. V spomladanskih mesecih se polarna  kapa  tali, ogljikov dioksid izpareva v atmosfero, poveča se  "," , da se prhljaj prenaša z glavniki, brisačami,  kapami . Prhljaj ni nalezljiv. Ne moremo ga prenesti npr.  "
69,0,kap, Po  kapi  odigral le eno vlogo ," , zgaga), arterioskleroza (srčni infarkt, možganska  kap ), revma, fibromialgije, artritis, artroza,  "
70,0,kap," seveda, da bi si oblekel uniformo in nataknil šofersko  kapo . Tebi (se pravi meni) bi dokupila penzijska  "," treh ur od trenutka, ko se je zgodila možganska  kap . Rezultati raziskave ECASS 3, ki so bili objavljeni  "
71,0,kap, o pomolu?) se je v prejšnjem Portorožanu oglasil  kap . Franjo Žele (Le čevlje sodi naj kopitar! ,  KAPE  ŠALI ROKAVICE  
72,0,kap,"  Kapa  Miss Selfridge, 21,70 EUR (5.199 SIT) –  ",  kape  i dateljne isto ! 
73,1,kap, . To pomeni nekajkrat večjo verjetnost srčnega infarkta in možganske  kapi  pri ljudeh s parodontalno boleznijo. Prav tako lahko vnetje  , vodstva UKC več kot polovico postelj zasedejo bolniki z možgansko  kapjo ; razporeditev so naredili na podlagi tega. “To  
74,1,kap," za obraz, vžigalice, toaletni papir, rokavice,  kapo , pončo itn. Moral sem si celo pritrditi dereze na  "," naj bi umrlo za posledicami bolezni srca in ožilja oziroma  kapi , ki jih je povzročilo kajenje. V minulih 50  "
75,0,kap," v dolgo zlato haljo,na glavi je imel škofovsko  kapo  in v roki dolgo,na vrhu zakrivljeno palico. "," je, da se govorno-jezikovne sposobnosti po možganski  kapi  vračajo zelo počasi. Spremembe so povezane z okrevanjem možganov  "
76,0,kap," smehlja; igralca, čigar razpoznavni znak sta šal in  kapa . "," Michelin dodelil dve zvezdici, Gault-Millau pa tri  kape . V večtedenskem sodelovanju z dunajskim šefom kuhinje Christophom Brandstätterjem  "
77,1,kap, ne pozabim! Dolce Vita si je poleg treh kuharskih  kap  Gault Millaua prikuhal tudi eno Michelinovo zvezdico. ," ki se veliko gibljejo, imajo veliko manj manjših možganskih  kapi . Slednjih se pogosto ne zavedamo, vendar lahko občutno  "
78,1,kap," s smrtmi zaradi drugih rakov, srčnih bolezni, možganskih  kapi , kroničnega bronhitisa in drugih bolezni dihal. Umrljivost v  "," . So pomemben dejavnik pojava civilizacijskih bolezni kot so srčna  kap , arterioskleroza in sladkorna bolezen. "
79,0,kap," bi lahko zdravili parkinsonovo ali alzheimerjevo bolezen, pa tudi  kapi . "," na Laponskem, odeta v beli zimski plašč z Božičkovo  kapo  na glavi. Tam na severu je sneg pričakovano gost  "
80,0,kap," je bilo in pod njim kaj praktičnega, šal,  kapa , rokavice, lesene igrače za otroke pa dateljni,  "," psihološko družinsko tragikomedijo o materi alkoholičarki, ki po možganski  kapi  okreva v bolnišnici, in njenih odraslih dvojčkih. Pravo  "
81,1,kap," 1275 Šmartno pri Litiji, ki bo nosila majico in  kapo  Dnevnika, Nedeljskega dnevnika in tednika Hopla. Čestitamo! "," mame, zna pa tudi dobro kuhati in peči.  Kapo  dol pred njo! Moj prvi spomin sega v čas "
82,1,kap," v Anaheimu dale misliti. Kajti čeprav se majice in  kape  s simpatičnim racmanom še naprej dobro prodajajo, otroci pa  "," , kaj so prinesli s seboj v vrtec: zaščitno  kapo , sončna očala, zaščitno kremo … Starši so te  "
83,1,kap," vsak v drugačni preobleki. Joan Albayat je prišel pod  kapo  katalonskega mladca, ki se gre steklarja, a tanko  ", strani komentarjev. Šolski primer minimalizma! Bravo 24ur!  Kapo  dol! Tokrat (izjemoma) mišljeno brez cinizma in  
84,1,kap," tem je ne le pridobil pravico nositi zeleno jopo in  kapo , kar je (ponekod še zdaj) razpoznavno oblačilo  "," se je enkrat kar zgrudil sredi dvorišča. Je manjša  kap  pred dvema letoma, ki ni pustila posledic, kako  "
85,1,kap," oblečenega v rumen anorak z napisom policija in s policijsko  kapo . Gre predvsem za primere, ko so otroci udeleženi  "," . V prihodnje bodo nabirali moči člani društva po možganski  kapi  z Gorenjskega, nasvete bodo dobili tudi njihovi svojci.  "
86,0,kap," “Visok, v sivem oficirskem plašču in s črno  kapo  na glavi je stopal počasi, z dolgimi koraki,  "," Smuč, da te  kap ! "
87,1,kap," v 17 odstotkih vseh primerov. Govorimo o hemoragični možganski  kapi , ko pretrgana žila povzroči krvavitev v možganovino. Možgani  "," krvnega tlaka pri mlajših od 80 let zmanjšuje število možganskih  kapi , infarktov in nenadnih smrti. Niso pa dokazale,  "
88,0,kap, območju nekdanje Jugoslavije Radovana Karadžića je nedavno zadela huda možganska  kap . Za njegovo okrevanje skrbi izbrana skupina zdravnikov iz Srbije  ," Rdeča  kapa  iz melanž pletenine ima nagajive zimske cofke, 1.990 SIT "
89,0,kap," komedij kot dva od šestih scenaristov Filma, da te  kap , ter kot scenarista in režiserja Filma za zmenke sta  ", Pretesna  kapa  na glavi 
90,0,kap," nikjer sledu o cestnih delih, zastoji pa da te  kap .  ", SKOČNI SKLEP ZUNANJOST OČE TELET OČE KRAV  KAPA  KAZEIN PARKLJI 
91,1,kap," Janeza Janše za Pivovarno Laško pomenijo reklamo, da te  kap . Dobesedno in preneseno. Koliko je brezplačna, pa  ", svetnikov in svetnic. Namesto svetniškega sija ima staro norčevsko  kapo  s kraguljčki na njenih treh rogih. Skoraj po vsej  
92,1,kap," postave, v rdeči jakni in kavbojkah, maskiran s  kapo  z izrezi za oči. "," Samo ne štekam, zakaj si imel na glavi tisto  kapo  dvornega norca. Mislim, v čem je bila fora "
93,0,kap, -žilnih bolezni in ker potroji možnost smrti zaradi srčne  kapi . Kar eden od dveh kadilcev bo umrl zaradi bolezni , • 200 x komplet  kapa  in šal Šumi 
94,1,kap," pretrganje arterije in krvavitev v moŽgansko tkivo. Diagnoza manjše  kapi  dve leti pred usodnim padcem, ki je prizadela mojega  "," popili po tri skodelice kave in več, je bila  kap  dvakrat pogostejša kot pri tistih, ki kave niso pili "
95,0,kap,"  Kapo  dol županu, ki mu nekdo donira 550 jurjev.  "," diferencirati v tkiva in bi bilo z njimi mogoče zdraviti  kapi , različne oblike raka, alzheimerjevo bolezen, levkemijo,  "
96,1,kap, in izgon iz države za leto dniMed vožnjo ga je  kap  , temelju dokazov o terapevtski in finančni učinkovitosti rehabilitacije po možganski  kapi  je evropsko nevrološko združenje predlagalo smernice za organizacijo centrov za  
97,0,kap," včasih tudi stožčaste oblike in merijo več metrov visoko.  Kape  so narejene iz platna ali živalske kože, okrašene so  ", Nikoli ne bom pozabila prve izkušnje z možgansko  kapjo .  
98,0,kap," PUBECI  KAPO  DOL, IZ TOTEGA KONCA VAS BOMO PRIČAKALI NA BRNIKU "," dirkača Nelsona Piqueta, ki se mi je podpisal na  kapo  in dal vrečko z Renaultovimi darili. Bil je zelo  "
99,1,kap," malo pred drugo svetovno vojno, pred tem so nosili  kape , znane iz srbske tradicije. V boju se čapke  "," bolnik dobiti zdravilo v prvih treh urah po nastopu znakov  kapi . Izjemnega pomena je, da ob sumu na možgansko  "
100,0,kap," dobr,da ne vodim bilance vlozkov,bi me  kap  zadela.... ", Ishemična možganska  kap  ali možganski infarkt lahko nastane zaradi zamašitve arterije na licu  
101,1,kap," ""Večina ljudi, ki so doživeli možgansko  kap , potrebuje storitve rehabilitacijske ekipe. Vemo, da se  "," zato tudi okrepljeni varnostni ukrepi okrog njegovega skrivališča. Možganska  kap  je tudi razlog, da se Karadžić vse bolj pogosto  "
102,1,kap," berglami, pred slabim mesecem dni pa ga je zadela  kap . »Le za trenutek sem stopila v sobo k  "," tudi bleščeči športni copati,papirni nakit in odpiljena športna  kapa  ter različne kape za zabavo.Knjiga je izšla pri  "
103,1,kap," ki si je zaradi mraza čez čelado poveznil kar smučarsko  kapo . »Vedno rad igram proti Sidneyju, žal pa  ", Zame eden resnično redkih italjanskih igralcev kateremu lahko daš  kapo  dol. 
104,1,kap, v Suhadol. Tam je bilo kot leta 1945.  Kape  na glavah in jugoslovanske zastave v rokah znanih suhadolskih domoljubov , več kot minula leta je v kraških vinogradih tudi trtne  kapi . 
105,1,kap," Posočju so »in«. Znanega gostilničarja je skoraj  kap , ko je pred turističnim stampedom na Posočje hodil po  "," zdaj sporočil BBC. Hkrati so tudi poročali, da  kap  ni pustila nobenih vidnih posledic in je Thatcherjeva polna energije "
106,0,kap," tudi modni dodatki. Izbiramo lahko med različnimi pasovi,  kapami  in klobučki, nakitom, nogavičkami, čeveljčki in drugimi  "," raziskave pa so dokazale, da je večje tveganje možganske  kapi . Tudi sicer je nekaj zmotnih mnenj. Mnogi so  "
107,0,kap, – Pletene  kape  , so manjšega okvira in slabših telesnih oblik. Ima BB  kapa  kazein. 
108,0,kap," majico s kratkimi rokavi, na glavi je imel športno  kapo  svetlo rjave barve, na hrbtu pa nahrbtnik rjave barve ", a končna ocena muzikala Showtime! je kljub temu:  kapo  dol! 
109,0,kap," Sportina XYZ, nakit new Yorker, Sportina XYZ,  kapa  new Yorker ","  kap  4, 36, 48  "
110,1,kap, letos nameravajo ob vrtcu urediti še zunanja igrišča. ( kap ) , manj postelj za kronične bolnike – Nujnim bolnikom z možgansko  kapjo  prednost pred kroničnimi – Napoved kadrovskih menjav 
111,0,kap," Kaj je? Vročinska  kap  je, tako kot tudi že omenjeni vročinski krči in  "," vabimo k sodelovanju. Logotip bo natisnjen na majicah,  kapah , dopisih itd., zato naj oblikovalci predlogov to upoštevajo  "
112,0,kap," letih zakona je njen mož umrl. Zadela ga je  kap  - morda zaradi jeze, ker se je njegova žena  ", kozjo bradico in izrazitim nosom. Pokrit je bil s  kapo  s ščitkom. 
113,1,kap," , ki tvorijo t.i. barvno srce. Barvni so  kapa , zatilje, vrat z leve in z desne strani ", ulice. Nekaj pred 23. uro naj bi zakrinkana s  kapami  z izrezom za oči Boštjan in Milan pozvonila pri vratih 
114,1,kap," (Oliver Dragojević ob čaju): Oliver je po  kapi  konjak zamenjal z vodo, cigaretam pa se ni odpovedal ", vsak po tri popravne izpite.« Skoraj bi me  kap ! Mami pa zaradi kakšne trojke v redovalnici že skače  
115,0,kap, v njegovi investiciji: vsem delavcem je ob nastopu podaril  kapo  in kemičnik svoje nekdanje firme Telekom. In so hitro  ," z rednim ščetkanjem oziroma umivanjem zob zmanjšate tveganje za možgansko  kap  vsaj za polovico. V 12-letni raziskavi,  "
116,1,kap," je z Jožetom Novakom stanovanjski sklad prišel z dežja pod  kap , bodoči lastniki stanovanj, ki jih gradi sklad,  "," za katerega je zdravnik ugotovil, da je umrl zaradi  kapi . V Murski Soboti, pravzaprav v opuščeni drvarnici ene  "
117,1,kap," infarkt, angino pektoris, nenadno smrt pa tudi možgansko  kap  in bolezni ožilja na udih je mogoče preprečiti ali vsaj  ", je je dala narava. Veliko jih zato doživi vročinsko  kap  ali pa se jim na telesu pojavijo tako imenovani “ 
118,0,kap, Brez pričakovanih predvolilnih bombic so svetniki pod  kapo  pospravili 2 milijardi težko naložbo v izgradnjo nove športne dvorane , Vzrok za možgansko  kap  je lahko tudi krvavitev. Ta je lahko subarahnoidna ( 
119,1,kap," Znaki možganske  kapi  so različni, odvisni so predvsem od tega, katera  "," ishemične ja in zelenjave smo bolj izpostavljeni spremljajočim negativnim možganske  kapi  za 50 odstotkov pri ljudeh, ki so uživali izdelke  "
120,0,kap," informacije o tem, kako in zakaj pride do možganske  kapi , kako se je ubraniti in kako živeti s kapjo "," vitke postave, krajših svetlih las, pokrit s črno  kapo , v modrih kavbojkah in črni bundi, oborožen je  "
121,1,kap," , po ocenah Svetovne zdravstvene organizacije pa bodo infarkt,  kap , ateroskleroza in koronarne bolezni tudi v tem stoletju glavni  "," že skoraj na pravi poti samospoznanja, nato ob ponovni  kapi  pride do presenetljivega preobrata. Yambo s pomočjo stripa z  "
122,0,kap," nekega starejšega moškega, ki ga je imel malo pod  kapo . Ko jih je možakar skušal odgnati, so ga  "," Mišo Primc (tip s  kapo ), načelnik vodnikov "
123,1,kap," terapija (primerna za stanja po poškodbah, operacijah in  kapi ), bioenergija in psihonavtika.  ", 6. Zdravljenje v roku treh ur po možganski  kapi  lahko pomembno zmanjša posledice?  
124,1,kap," . Tako se je zgodilo, da je delavko skoraj  kap , ko so ji na ZPIZ rekli, da mora  "," na toplem. Na glavo sem si do nosa poveznila  kapo , da sem bila videti kot kompaktnejša inačica Raztresene Ally  "
125,1,kap," , bunde od 800 SIT, rokavice, šali,  kape  od 200 SIT dalje. Imamo večjo količino kombinezonov za  "," v katerem so njegovi terenci kašljajoč pobirali svoje brzostrelke,  kape , torbe, čutarice in kar je še drugega imelo  "
126,0,kap," ... do možganske  kapi , ki vodi v delno ali popolno paralizo telesa ter  "," »Saj bi me res skoraj  kap , ko sem te zagledal,« sem odvrnil.  "
127,1,kap," neverjetno patetično in ne da bi se ozirala na možnost  kapi , svojemu očetu prebrala omenjeni članek, je Salvatore nekaj  "," nametana krama, vendar s pomembnim ozadjem – v sneženo  kapo  odetim Araratom. Naslednje jutro me je zbudilo ropotanje pod  "
128,0,kap," konjskimi vpregami in peš so se privlekli z dežja pod  kap . Osvobodilna vojska Kosova si je zastavila smele cilje,  "," rdečilo, TJ, nosec, variator, Engel,  kap , EL, ave, nat, aval, OŠ "
129,0,kap, « 3 (treh) knjig: darilo lonček +  kapa  »Demokracija« 4 (štirih) in več knjig ," -žilne bolezni zaradi ateroskleroze (srčni infarkt, možganska  kap  in ostale tovrstne bolezni). V drugi polovici prejšnjega  "
